Prompt,Generated Text,i,MAX_LEN,simple_ttr,root_ttr,log_ttr,mass_ttr,msttr,mattr,hdd,mtld,mtld_ma_wrap,mtld_ma_bid
Indian defense,"Indian defense minister: 'We are not looking for war' with Pakistan
India's Defence Minister Manohar Parrikar said that his country is not seeking war with neighboring Pakistan.
""We have no desire to go to war. We are trying to resolve the Kashmir issue through talks,"" Parikkar said in a statement. ""We want to maintain friendly relations with all our neighbors. But we are also aware of the fact that our neighbor is trying hard to disturb peace in the region.""
The minister' comments come in response to the recent statement by Pakistan'S Prime Minister Nawaz Sharif, who said his government would not allow ""Indian aggression"" in Kahsmir. The statement came after Indian troops killed two Pakistani soldiers in an exchange of fire in Indian Khasmir. Shaif also said he was willing to ""go to any extent"" to defend the",0,191,0.5515151515151515,7.084340391869858,0.8834523458141971,0.05255851096009574,0.8999999999999999,0.8831205673758864,0.7895096985106668,56.41816143497758,66.31515151515151,61.41932773109244
Indian defense,"Indian defense minister: China’s aggressive actions in Ladakh unacceptable
India’ s defense ministry said on Friday that China s aggression in the Ladak region was unreasonable and unjustifiable.
The statement comes a day after the Indian military said it had carried out “preemptive” strikes on a Chinese army camp in a disputed Himalayan border area, killing at least two soldiers. China said its troops had also been killed in clashes. It is the first time India has launched a military strike against China since the two nations went to war in 1962.",1,197,0.6634615384615384,6.766006662267349,0.9116602363035454,0.04379687830403728,0.9099999999999999,0.902000000000001,0.8196184670305535,75.68479858865041,75.07692307692308,67.81344792719918
Indian defense,"Indian defense minister, army chief meet over border tension
Indian Defense Minister Manohar Parrikar (L) and Indian Army Chief General Dalbir Singh (R) attend a press conference in New Delhi on April 24, 15. AFP PHOTO
Defense minister Manmohan Parikar and army Chief Dalvir Singh met on Monday to discuss the situation along the border with Pakistan.
The meeting comes after a ceasefire violation by Pakistan that left two Indian soldiers dead. The Indian army said the violations were in the Poonch sector of Jammu and Kashmir. Pakistan denied any violating of the ceasfire.",2,188,0.6759259259259259,7.024428275140447,0.9163475419683196,0.04113872369492796,0.9299999999999999,0.9019047619047627,0.8341900359614806,63.015122177593575,79.88888888888889,86.64204545454545
Indian defense,"Indian defense minister, who had a stroke, is in critical condition
A senior Indian official said that Defense Minister Rajnath Singh, 68, was in a critical but stable condition after suffering a mild stroke.
The official, speaking on condition of anonymity, told Reuters that the minister was being kept in the intensive care unit of a hospital in New Delhi. The minister’s office said he was admitted to the hospital on Sunday after he felt unwell. A spokesperson for the office did not immediately respond to a request for further comment. Singh is also the head of the ruling Bharatiya Janata Party.",3,190,0.5603448275862069,6.035098490754186,0.8781546372477845,0.05902050968731172,0.83,0.837391304347826,0.7513102446228901,47.54870275192542,48.89655172413793,42.41915422885572
Indian defense,"Indian defense minister to visit Russia to discuss cooperation
Indian Defense Minister Rajnath Singh will visit Moscow on November 29-30 to meet with his Russian counterpart, Sergei Shoigu, to hold talks on bilateral defense co-operation, the Indian Defence Ministry said on Friday.
“The visit of Def. Min. Rajanth Singh to Russia will be from 3rd November to 4th November. He will hold bilat. tal. with Def Min Shoygu on 1st November,” the ministry said in a statement. “The two Def Ministers will discuss bilate. defense ties and cooperate on defense projects,” it added. The Indian minister will also visit the city of Kazan in the Republic of Tatarstan, where he will participate in an international conference on the development of military-technical coop. between Russia and India.",4,198,0.535483870967742,6.6667204298907405,0.8761586630824861,0.05653999210300687,0.8333333333333334,0.8470229007633585,0.7666955365689437,55.2795566442489,55.25806451612903,48.23345527103425
Indian defense,"Indian defense minister Manohar Parrikar on Monday said the government would consider all options, including the acquisition of nuclear submarines, to enhance the country's strategic capabilities.
Indian defense ministry sources said India was planning to acquire a nuclear-powered submarine. The sources told the Press Trust of India news agency that the decision was taken at a meeting of the Cabinet Committee on Security, the highest decision-making body on defense issues. India' s navy already has two conventional sub-mariners.",5,189,0.6702127659574468,6.497953851430398,0.911922938075672,0.04463829435261558,0.8666666666666667,0.8845714285714298,0.8032895034421221,72.00731432858214,68.92553191489361,58.125757575757575
Indian defense,"Indian defense minister says Kashmir ‘temporarily’ under central rule
Indian defense Minister Nirmala Sitharaman said on Monday that the Indian-administered part of Kargil is “tempo...
Pakistan and India trade gunfire across Kartarpur Corridor
On Thursday, Pakistani troops opened fire at Indian border posts in the Kandi sector, close to the border with India...",6,194,0.7846153846153846,6.325771464049632,0.9418928763700031,0.03205179299776327,0.8999999999999999,0.9502439024390251,0.8512248168498158,84.50000000000001,71.0,0.0
Indian defense,"Indian defense minister to visit Pakistan in November
Lahore [Pakistan], Oct 18 (ANI): Indian Defense Minister Nirmala Sitharaman will be visiting Pakistan on November 25 to attend the Heart of Asia Conference in Amritsar.
According to a report by the Dawn, the decision to send Sitaraman to the conference was taken by Prime Minister Narendra Modi. The conference is scheduled to take place on December 3 and 4. Setharam will also be attending the Shanghai Cooperation Organization (SCO) meeting in China on the same day.",7,197,0.6565656565656566,6.5327457991848785,0.9084392586133243,0.04588050042139104,0.8666666666666666,0.8709333333333334,0.7976354270141406,64.75670498084291,57.96969696969697,43.041666666666664
Indian defense,"Indian defense minister Rajnath Singh on Wednesday said that the country’s armed forces will be equipped with “cutting-edge” weapons and technology to deal with the challenges posed by the Chinese military.
“The Indian Armed Forces are fully equipt to face any challenge poses by China,” Singh told the media in New Delhi. “We have the ability to defeat the enemy in any kind of battle.”
The defense ministry said in a statement that Singh’ “assurance came on a day when India and China are locked in their longest-ever standoff in the Ladakh sector of Jammu and Kashmir.” The two sides have been locked at a stalemate since April 2021. Chinese and Indian troops have held 13 rounds of talks so far. The last round of the military talsk was held in November. China’ s People’’ Liberation Army (P",8,194,0.593939393939394,7.629289652782925,0.8979664005632206,0.04601323031132481,0.8733333333333332,0.8754609929078012,0.810236354732673,76.58460803059273,74.72727272727273,63.32019230769231
Indian defense,"Indian defense minister Rajnath Singh and his Chinese counterpart Wei Fenghe reviewed the situation in Ladakh in a phone call on Tuesday, the first such contact in more than two months.
Singh and Wei, who spoke on the phone for about 40 minutes, discussed the recent developments in eastern Ladak and the two sides agreed to continue the military and diplomatic talks to resolve the standoff in the region. The two defense chiefs also agreed that their respective militaries should maintain dialogue and communication through military commanders on ground and at the diplomacy level. “The two ministers agreed on continuing diplomatically and military talso to find a mutually acceptable solution to the ongoing situation,” a defense ministry statement said. Singh also called for restraint on both sides and urged the Chinese side to not take any aggressive action. He also asked China to respect India’s sovere",9,192,0.5849056603773585,7.37537974717874,0.8941971109195418,0.04806170041360367,0.8733333333333334,0.8740740740740739,0.7914453535342623,69.44281202911097,65.26415094339623,51.110482654600304
